date,open_price,highest_price,lowest_price,close_price,volume,symbol,is_quarter,is_annual
2019-11-12,129.63,130.62,129.01,129.16,9098990,JPM,False,False
2019-11-11,129.6,130.1,129.35,129.92,8679006,JPM,False,False
2019-11-08,129.88,130.4,129.25,130.38,9293368,JPM,False,False
2019-11-07,130.43,131.29,129.92,130.0,13527401,JPM,False,False
2019-11-06,128.69,129.84,128.58,129.3,11231073,JPM,False,False
2019-11-05,129.39,130.3,128.84,129.1,13740603,JPM,False,False
2019-11-04,129.08,129.42,128.56,128.82,9158648,JPM,False,False
2019-11-01,126.2,127.99,126.02,127.8,11675083,JPM,False,False
2019-10-31,125.49,125.73,123.86,124.92,11589021,JPM,False,False
2019-10-30,126.05,126.26,124.92,125.73,8513252,JPM,False,False
2019-10-29,126.06,127.42,125.94,126.43,9680627,JPM,False,False
2019-10-28,126.57,127.21,126.4,126.51,9370791,JPM,False,False
2019-10-25,125.0,126.65,124.75,126.03,9053809,JPM,False,False
2019-10-24,125.29,125.66,124.07,125.03,8054250,JPM,False,False
2019-10-23,124.2,125.15,124.17,125.12,9395088,JPM,False,False
2019-10-22,123.45,125.1,123.12,124.79,12654722,JPM,False,False
2019-10-21,122.05,123.77,121.99,123.55,13269316,JPM,False,False
2019-10-18,120.0,121.02,119.86,120.56,10417417,JPM,False,False
2019-10-17,120.75,121.57,119.88,120.35,11063087,JPM,False,False
2019-10-16,119.96,120.62,119.38,119.68,11630767,JPM,False,False
2019-10-15,118.85,121.59,117.87,119.96,30519044,JPM,False,False
2019-10-14,115.85,116.87,115.66,116.45,8864899,JPM,False,False
2019-10-11,116.03,117.99,115.87,116.14,15187536,JPM,False,False
2019-10-10,113.14,115.4,113.0,114.21,11169000,JPM,False,False
2019-10-09,112.67,113.16,112.07,112.63,7331896,JPM,False,False
2019-10-08,113.06,113.06,111.66,111.82,11587216,JPM,False,False
2019-10-07,114.19,115.5,114.07,114.37,6807677,JPM,False,False
2019-10-04,112.34,114.94,112.27,114.62,9619571,JPM,False,False
2019-10-03,112.27,112.91,110.52,112.19,13018567,JPM,False,False
2019-10-02,114.81,114.9,112.93,113.25,12621579,JPM,False,False
2019-10-01,118.4,119.0,115.41,115.55,11327235,JPM,False,False
2019-09-30,118.36,118.77,117.22,117.69,9799593,JPM,True,False
2019-09-27,117.96,118.64,117.28,117.72,10207848,JPM,False,False
2019-09-26,117.88,118.05,116.95,117.03,9918237,JPM,False,False
2019-09-25,117.27,118.36,117.12,118.0,9417130,JPM,False,False
2019-09-24,118.75,119.26,117.04,117.33,11850898,JPM,False,False
2019-09-23,117.78,119.12,117.68,118.88,9183072,JPM,False,False
2019-09-20,119.74,120.34,118.87,118.9,22075596,JPM,False,False
2019-09-19,119.7,120.34,119.09,119.38,9458820,JPM,False,False
2019-09-18,118.32,120.08,117.75,119.76,10713520,JPM,False,False
2019-09-17,118.42,118.61,117.24,118.57,10817417,JPM,False,False
2019-09-16,118.9,119.87,118.38,119.16,11873407,JPM,False,False
2019-09-13,119.0,120.4,118.75,120.23,16256651,JPM,False,False
2019-09-12,116.55,118.47,115.92,117.91,12281879,JPM,False,False
2019-09-11,116.89,117.2,115.38,117.19,9905010,JPM,False,False
2019-09-10,116.3,117.27,115.73,116.87,14330294,JPM,False,False
2019-09-09,113.71,116.06,113.6,115.4,13983434,JPM,False,False
2019-09-06,112.66,112.98,111.96,112.61,7836589,JPM,False,False
2019-09-05,111.25,113.72,111.2,112.37,13224675,JPM,False,False
2019-09-04,109.45,110.22,108.56,109.87,6929198,JPM,False,False
2019-09-03,108.98,108.99,107.32,108.56,9867833,JPM,False,False
2019-08-30,109.84,110.56,109.47,109.86,10170206,JPM,False,False
2019-08-29,108.14,109.89,108.02,109.22,10002439,JPM,False,False
2019-08-28,105.08,107.21,105.04,106.8,10584137,JPM,False,False
2019-08-27,107.35,107.56,104.84,105.74,14335951,JPM,False,False
2019-08-26,106.62,106.99,106.01,106.87,8211955,JPM,False,False
2019-08-23,108.0,108.78,105.11,106.02,14764096,JPM,False,False
2019-08-22,108.37,109.27,107.93,108.72,9343395,JPM,False,False
2019-08-21,108.21,108.43,107.45,107.61,8189648,JPM,False,False
2019-08-20,107.85,108.44,107.24,107.31,8376105,JPM,False,False
2019-08-19,109.63,109.75,108.42,108.69,8265570,JPM,False,False
2019-08-16,106.37,107.98,105.87,107.72,11830550,JPM,False,False
2019-08-15,104.82,106.38,104.34,105.2,13365567,JPM,False,False
2019-08-14,106.3,106.91,104.45,104.8,19491849,JPM,False,False
2019-08-13,107.95,110.33,107.03,109.34,12236560,JPM,False,False
2019-08-12,108.44,108.5146,107.21,107.68,9266348,JPM,False,False
2019-08-09,109.35,110.45,108.29,109.74,9980834,JPM,False,False
2019-08-08,109.05,110.08,108.72,109.86,10903331,JPM,False,False
2019-08-07,108.0,108.28,105.94,108.03,17320865,JPM,False,False
2019-08-06,110.05,110.5,108.34,110.43,10203487,JPM,False,False
2019-08-05,110.79,110.98,108.27,109.57,15855328,JPM,False,False
